"CD_MUNICIPIO";"NOME_MUNICIPIO"
"0";""
"2900108";"ABAIRA                                                      "
"2900207";"ABARE                                                       "
"2900306";"ACAJUTIBA                                                   "
"2900355";"ADUSTINA                                                    "
"2900405";"AGUA FRIA                                                   "
"2900603";"AIQUARA                                                     "
"2900702";"ALAGOINHAS                                                  "
"2900801";"ALCOBACA                                                    "
"2900900";"ALMADINA                                                    "
"2901007";"AMARGOSA                                                    "
"2901106";"AMELIA RODRIGUES                                            "
"2901155";"AMERICA DOURADA                                             "
"2901205";"ANAGÉ                                                       "
"2901304";"ANDARAÍ                                                     "
"2901353";"ANDORINHA                                                   "
"2901403";"ANGICAL                                                     "
"2901502";"ANGUERA                                                     "
"2901601";"ANTAS                                                       "
"2901700";"ANTÔNIO CARDOSO                                             "
"2901809";"ANTÔNIO GONÇALVES                                           "
"2901908";"APORÁ                                                       "
"2901957";"APUAREMA                                                    "
"2902054";"ARAÇÁS                                                      "
"2902005";"ARACATU                                                     "
"2902104";"ARACI                                                       "
"2902203";"ARAMARI                                                     "
"2902252";"ARATACA                                                     "
"2902302";"ARATUÍPE                                                    "
"2902401";"AURELINO LEAL                                               "
"2902500";"BAIANÓPOLIS                                                 "
"2902609";"BAIXA GRANDE                                                "
"2902658";"BANZAÊ                                                      "
"2902708";"BARRA                                                       "
"2902807";"BARRA DA ESTIVA                                             "
"2902906";"BARRA DO CHOÇA                                              "
"2903003";"BARRA DO MENDES                                             "
"2903102";"BARRA DO ROCHA                                              "
"2903201";"BARREIRAS                                                   "
"2903235";"BARRO ALTO                                                  "
"2903300";"BARRO PRETO                                                 "
"2903276";"BARROCAS                                                    "
"2903409";"BELMONTE                                                    "
"2903508";"BELO CAMPO                                                  "
"2903607";"BIRITINGA                                                   "
"2903706";"BOA NOVA                                                    "
"2903805";"BOA VISTA DO TUPIM                                          "
"2903904";"BOM JESUS DA LAPA                                           "
"2903953";"BOM JESUS DA SERRA                                          "
"2904001";"BONINAL                                                     "
"2904050";"BONITO                                                      "
"2904100";"BOQUIRA                                                     "
"2904209";"BOTUPORÃ                                                    "
"2904308";"BREJÕES                                                     "
"2904407";"BREJOLÂNDIA                                                 "
"2904506";"BROTAS DE MACAÚBAS                                          "
"2904605";"BRUMADO                                                     "
"2904704";"BUERAREMA                                                   "
"2904753";"BURITIRAMA                                                  "
"2904803";"CAATIBA                                                     "
"2904852";"CABACEIRAS DO PARAGUAÇU                                     "
"2904902";"CACHOEIRA                                                   "
"2905008";"CACULÉ                                                      "
"2905107";"CAÉM                                                        "
"2905156";"CAETANOS                                                    "
"2905206";"CAETITÉ                                                     "
"2905305";"CAFARNAUM                                                   "
"2905404";"CAIRU                                                       "
"2905503";"CALDEIRÃO GRANDE                                            "
"2905602";"CAMACAN                                                     "
"2905701";"CAMAÇARI                                                    "
"2905800";"CAMAMU                                                      "
"2905909";"CAMPO ALEGRE DE LOURDES                                     "
"2906006";"CAMPO FORMOSO                                               "
"2906105";"CANÁPOLIS                                                   "
"2906204";"CANARANA                                                    "
"2906303";"CANAVIEIRAS                                                 "
"2906402";"CANDEAL                                                     "
"2906501";"CANDEIAS                                                    "
"2906600";"CANDIBA                                                     "
"2906709";"CÂNDIDO SALES                                               "
"2906808";"CANSANÇÃO                                                   "
"2906824";"CANUDOS                                                     "
"2906857";"CAPELA DO ALTO ALEGRE                                       "
"2906873";"CAPIM GROSSO                                                "
"2906899";"CARAÍBAS                                                    "
"2906907";"CARAVELAS                                                   "
"2907004";"CARDEAL DA SILVA                                            "
"2907103";"CARINHANHA                                                  "
"2907202";"CASA NOVA                                                   "
"2907301";"CASTRO ALVES                                                "
"2907400";"CATOLÂNDIA                                                  "
"2907509";"CATU                                                        "
"2907558";"CATURAMA                                                    "
"2907608";"CENTRAL                                                     "
"2907707";"CHORROCHÓ                                                   "
"2907806";"CÍCERO DANTAS                                               "
"2907905";"CIPÓ                                                        "
"2908002";"COARACI                                                     "
"2908101";"COCOS                                                       "
"2908200";"CONCEIÇÃO DA FEIRA                                          "
"2908309";"CONCEIÇÃO DO ALMEIDA                                        "
"2908408";"CONCEIÇÃO DO COITÉ                                          "
"2908507";"CONCEIÇÃO DO JACUÍPE                                        "
"2908606";"CONDE                                                       "
"2908705";"CONDEÚBA                                                    "
"2908804";"CONTENDAS DO SINCORÁ                                        "
"2908903";"CORAÇÃO DE MARIA                                            "
"2909000";"CORDEIROS                                                   "
"2909109";"CORIBE                                                      "
"2909208";"CORONEL JOÃO SÁ                                             "
"2909307";"CORRENTINA                                                  "
"2909406";"COTEGIPE                                                    "
"2909505";"CRAVOLÂNDIA                                                 "
"2909604";"CRISÓPOLIS                                                  "
"2909703";"CRISTÓPOLIS                                                 "
"2909802";"CRUZ DAS ALMAS                                              "
"2909901";"CURAÇÁ                                                      "
"2910008";"DÁRIO MEIRA                                                 "
"2910057";"DIAS DÁVILA                                                 "
"2910107";"DOM BASÍLIO                                                 "
"2910206";"DOM MACEDO COSTA                                            "
"2910305";"ELÍSIO MEDRADO                                              "
"2910404";"ENCRUZILHADA                                                "
"2910503";"ENTRE RIOS                                                  "
"2900504";"ÉRICO CARDOSO                                               "
"2910602";"ESPLANADA                                                   "
"2910701";"EUCLIDES DA CUNHA                                           "
"2910727";"EUNÁPOLIS                                                   "
"2910750";"FÁTIMA                                                      "
"2910776";"FEIRA DA MATA                                               "
"2910800";"FEIRA DE SANTANA                                            "
"2910859";"FILADÉLFIA                                                  "
"2910909";"FIRMINO ALVES                                               "
"2911006";"FLORESTA AZUL                                               "
"2911105";"FORMOSA DO RIO PRETO                                        "
"2911204";"GANDU                                                       "
"2911253";"GAVIÃO                                                      "
"2911303";"GENTIO DO OURO                                              "
"2911402";"GLÓRIA                                                      "
"2911501";"GONGOGI                                                     "
"2911600";"GOVERNADOR MANGABEIRA                                       "
"2911659";"GUAJERU                                                     "
"2911709";"GUANAMBI                                                    "
"2911808";"GUARATINGA                                                  "
"2911857";"HELIÓPOLIS                                                  "
"2911907";"IAÇU                                                        "
"2912004";"IBIASSUCÊ                                                   "
"2912103";"IBICARAI                                                    "
"2912202";"IBICOARA                                                    "
"2912301";"IBICUÍ                                                      "
"2912400";"IBIPEBA                                                     "
"2912509";"IBIPITANGA                                                  "
"2912608";"IBIQUERA                                                    "
"2912707";"IBIRAPITANGA                                                "
"2912806";"IBIRAPOÃ                                                    "
"2912905";"IBIRATAIA                                                   "
"2913002";"IBITIARA                                                    "
"2913101";"IBITITÁ                                                     "
"2913200";"IBOTIRAMA                                                   "
"2913309";"ICHU                                                        "
"2913408";"IGAPORÃ                                                     "
"2913457";"IGRAPIÚNA                                                   "
"2913507";"IGUAÍ                                                       "
"2913606";"ILHÉUS                                                      "
"2913705";"INHAMBUPE                                                   "
"2913804";"IPECAETÁ                                                    "
"2913903";"IPIAÚ                                                       "
"2914000";"IPIRÁ                                                       "
"2914109";"IPUPIARA                                                    "
"2914208";"IRAJUBA                                                     "
"2914307";"IRAMAIA                                                     "
"2914406";"IRAQUARA                                                    "
"2914505";"IRARÁ                                                       "
"2914604";"IRECÊ                                                       "
"2914653";"ITABELA                                                     "
"2914703";"ITABERABA                                                   "
"2914802";"ITABUNA                                                     "
"2914901";"ITACARÉ                                                     "
"2915007";"ITAETÊ                                                      "
"2915106";"ITAGI                                                       "
"2915205";"ITAGIBÁ                                                     "
"2915304";"ITAGIMIRIM                                                  "
"2915353";"ITAGUAÇU DA BAHIA                                           "
"2915403";"ITAJU DO COLÔNIA                                            "
"2915502";"ITAJUÍPE                                                    "
"2915601";"ITAMARAJU                                                   "
"2915700";"ITAMARI                                                     "
"2915809";"ITAMBÉ                                                      "
"2915908";"ITANAGRA                                                    "
"2916005";"ITANHÉM                                                     "
"2916104";"ITAPARICA                                                   "
"2916203";"ITAPÉ                                                       "
"2916302";"ITAPEBI                                                     "
"2916401";"ITAPETINGA                                                  "
"2916500";"ITAPICURU                                                   "
"2916609";"ITAPITANGA                                                  "
"2916708";"ITAQUARA                                                    "
"2916807";"ITARANTIM                                                   "
"2916856";"ITATIM                                                      "
"2916906";"ITIRUÇU                                                     "
"2917003";"ITIÚBA                                                      "
"2917102";"ITORORÓ                                                     "
"2917201";"ITUAÇU                                                      "
"2917300";"ITUBERÁ                                                     "
"2917334";"IUIÚ                                                        "
"2917359";"JABORANDI                                                   "
"2917409";"JACARACI                                                    "
"2917508";"JACOBINA                                                    "
"2917607";"JAGUAQUARA                                                  "
"2917706";"JAGUARARI                                                   "
"2917805";"JAGUARIPE                                                   "
"2917904";"JANDAÍRA                                                    "
"2918001";"JEQUIÉ                                                      "
"2918100";"JEREMOABO                                                   "
"2918209";"JIQUIRIÇÁ                                                   "
"2918308";"JITAÚNA                                                     "
"2918357";"JOÃO DOURADO                                                "
"2918407";"JUAZEIRO                                                    "
"2918456";"JUCURUÇU                                                    "
"2918506";"JUSSARA                                                     "
"2918555";"JUSSARI                                                     "
"2918605";"JUSSIAPE                                                    "
"2918704";"LAFAIETE COUTINHO                                           "
"2918753";"LAGOA REAL                                                  "
"2918803";"LAJE                                                        "
"2918902";"LAJEDÃO                                                     "
"2919009";"LAJEDINHO                                                   "
"2919058";"LAJEDO DO TABOCAL                                           "
"2919108";"LAMARÃO                                                     "
"2919157";"LAPÃO                                                       "
"2919207";"LAURO DE FREITAS                                            "
"2919306";"LENÇÓIS                                                     "
"2919405";"LICÍNIO DE ALMEIDA                                          "
"2919504";"LIVRAMENTO DE NOSSA SENHORA                                 "
"2919553";"LUÍS EDUARDO MAGALHÃES                                      "
"2919603";"MACAJUBA                                                    "
"2919702";"MACARANI                                                    "
"2919801";"MACAÚBAS                                                    "
"2919900";"MACURURÉ                                                    "
"2919926";"MADRE DE DEUS                                               "
"2919959";"MAETINGA                                                    "
"2920007";"MAIQUINIQUE                                                 "
"2920106";"MAIRI                                                       "
"2920205";"MALHADA                                                     "
"2920304";"MALHADA DE PEDRAS                                           "
"2920403";"MANOEL VITORINO                                             "
"2920452";"MANSIDÃO                                                    "
"2920502";"MARACÁS                                                     "
"2920601";"MARAGOGIPE                                                  "
"2920700";"MARAÚ                                                       "
"2920809";"MARCIONÍLIO SOUZA                                           "
"2920908";"MASCOTE                                                     "
"2921005";"MATA DE SÃO JOÃO                                            "
"2921054";"MATINA                                                      "
"2921104";"MEDEIROS NETO                                               "
"2921203";"MIGUEL CALMON                                               "
"2921302";"MILAGRES                                                    "
"2921401";"MIRANGABA                                                   "
"2921450";"MIRANTE                                                     "
"2921500";"MONTE SANTO                                                 "
"2921609";"MORPARÁ                                                     "
"2921708";"MORRO DO CHAPÉU                                             "
"2921807";"MORTUGABA                                                   "
"2921906";"MUCUGÊ                                                      "
"2922003";"MUCURI                                                      "
"2922052";"MULUNGU DO MORRO                                            "
"2922102";"MUNDO NOVO                                                  "
"2922201";"MUNIZ FERREIRA                                              "
"2922250";"MUQUÉM DO SÃO FRANCISCO                                     "
"2922300";"MURITIBA                                                    "
"2922409";"MUTUÍPE                                                     "
"2922508";"NAZARÉ                                                      "
"2922607";"NILO PEÇANHA                                                "
"2922656";"NORDESTINA                                                  "
"2922706";"NOVA CANAÃ                                                  "
"2922730";"NOVA FÁTIMA                                                 "
"2922755";"NOVA IBIÁ                                                   "
"2922805";"NOVA ITARANA                                                "
"2922854";"NOVA REDENÇÃO                                               "
"2922904";"NOVA SOURE                                                  "
"2923001";"NOVA VIÇOSA                                                 "
"2923035";"NOVO HORIZONTE                                              "
"2923050";"NOVO TRIUNFO                                                "
"2923100";"OLINDINA                                                    "
"2923209";"OLIVEIRA DOS BREJINHOS                                      "
"2923308";"OURIÇANGAS                                                  "
"2923357";"OUROLÂNDIA                                                  "
"2923407";"PALMAS DE MONTE ALTO                                        "
"2923506";"PALMEIRAS                                                   "
"2923605";"PARAMIRIM                                                   "
"2923704";"PARATINGA                                                   "
"2923803";"PARIPIRANGA                                                 "
